Sector,Symbol,Rule,Trend,Price,PreviousClose,52WeekHigh,52WeekLow,TrailingPE,ForwardPE,pegRatio,PriceToBook,EarningsQuarterlyGrowth,Institutions_pct,Earning_Date,Reco_4_hrs,Reco_Daily,Reco_Daily_last,Reco_Weekly,RSI,MACD,PAR,Stoch_K,Stoch_D,ADX,CCI20,AO,Mom,MACD_macd,MACD_signal,UO,P_SAR,TrailingEps,ForwardEps,Stock,Category,LotSize,ShortInterest,RecommdationMean,FutureLotValue,RecommadationKey,totalCashPerShare,earningsGrowth,currentRatio,returnOnAssets,returnOnEquity,debtToEquity,quickRatio
Consumer Cyclical,APOLLOTYRE,NEUTRAL,NEUTRAL,189.65,189.05,250.0,165.25,11.653558,9.117788,,1.0421242,-0.496,0.2386,,BUY - 10|7|9,SELL - 5|11|10,BUY - 13|3|10,SELL - 2|14|10,Neutral : 54.23,BUY,BUY,Overbrought : 88.46,Overbrought : 84.09,Strong Trend : 28.73,Bullish  : 87.32,Bullish : 3.12,Bullish : 2.45,Bearish : -0.4,Bearish : -1.81,52.91,185.24,16.274,20.8,APOLLO TYRES,Watchlist,1,,2.1,189.65,buy,21.915,-0.498,,,,62.878,
Utilities,TATAPOWER,NEUTRAL,NEUTRAL,210.6,207.0,298.05,118.4,48.46951,,,3.0989275,0.716,0.21004999,,BUY - 10|7|9,SELL - 4|17|5,SELL - 2|14|10,BUY - 11|9|6,Neutral : 51.8,BUY,BUY,Bullish : 77.76,Bullish : 64.09,Weak Trend : 24.37,Bullish  : 104.75,Bearish : -3.74,Bullish : 2.6,Bearish : -1.95,Bearish : -3.21,50.5,200.81,4.345,,TATA POWER CO LTD,Portfolio,6750,,,1421550.0,none,15.046,1.046,,,,197.429,
Consumer Cyclical,BHARATFORG,NEUTRAL,NEUTRAL,650.05,645.8,847.95,595.0,71.33999,,,5.1977386,,0.35498002,,BUY - 10|7|9,SELL - 4|12|10,SELL - 3|15|8,SELL - 4|12|10,Neutral : 50.77,BUY,SELL,Bullish : 44.9,Bullish : 44.51,Weak Trend : 11.7,Neutral : 27.81,Bearish : -1.8,Bullish : 3.05,Bearish : -0.98,Bearish : -1.61,47.59,659.8,9.112,,BHARAT FORGE,Watchlist,1,,,650.05,none,48.801,,,,,97.428,
Healthcare,DIVISLAB,NEUTRAL,NEUTRAL,3641.15,3637.55,5425.1,3365.55,45.250225,64.674065,,9.737126,0.917,0.27025,,BUY - 10|7|9,NEUTRAL - 8|8|10,STRONG_SELL - 1|17|8,SELL - 3|13|10,Neutral : 54.62,BUY,SELL,Bullish : 57.7,Bullish : 53.21,Weak Trend : 21.86,Neutral : 24.79,Bullish : 42.91,Bearish : -33.7,Bullish : 11.82,Bullish : 10.19,65.09,3692.58,80.467,56.3,DIVI'S LABORATORIE,Watchlist,2000,,2.3,7282300.0,buy,70.816,0.917,,,,0.042,
Healthcare,APOLLOHOSP,NEUTRAL,NEUTRAL,3766.25,3736.15,5935.4,3361.55,51.768337,46.155025,0.65,10.209786,0.751,0.49323002,,BUY - 10|7|9,NEUTRAL - 7|9|10,STRONG_SELL - 1|16|9,SELL - 6|10|10,Neutral : 52.12,SELL,SELL,Bullish : 40.07,Bullish : 32.15,Weak Trend : 23.05,Neutral : -26.3,Bearish : -23.68,Bearish : -27.85,Bearish : -0.74,Bullish : 6.71,48.78,3806.44,72.752,81.6,APOLLO HOSPITALS.,Watchlist,250,,2,941562.5,buy,104.739,0.693,,,,76.699,
Financial Services,PNB,NEUTRAL,NEUTRAL,29.9,29.45,48.2,28.05,8.37535,2.2430608,-0.12,0.3386567,0.673,0.11958,,BUY - 10|7|9,NEUTRAL - 7|9|10,SELL - 1|15|10,SELL - 4|14|8,Neutral : 53.72,BUY,SELL,Overbrought : 82.39,Bullish : 62.5,Weak Trend : 18.58,Bullish  : 113.91,Bearish : -0.17,Bullish : 0.35,Bearish : -0.09,Bearish : -0.18,51.83,29.93,3.57,13.33,PUNJAB NATL BANK,Watchlist,1,,3.3,29.9,hold,136.836,0.462,,0.00328,0.04439,,
Basic Materials,SHREECEM,STRONG_BUY,BUY,19353.0,19213.8,31469.95,17865.2,26.630796,22.42682,1.54,4.2550983,-0.236,0.15673,,BUY - 10|7|9,BUY - 15|2|9,SELL - 2|16|8,SELL - 4|14|8,Neutral : 54.3,BUY,BUY,Bullish : 73.36,Bullish : 69.87,Strong Trend : 30.15,Bullish  : 74.53,Bullish : 276.32,Bullish : 233.75,Bearish : -3.81,Bearish : -96.65,48.94,18995.75,726.715,862.94,SHREE CEMENT LTD,Watchlist,1,,3,19353.0,hold,1010.56,-0.236,,,,13.019,
Financial Services,ISEC,NEUTRAL,NEUTRAL,436.65,413.55,896.05,408.4,11.209086,10.542009,,6.837292,0.033,0.11428001,2021-10-26 00:00:00,BUY - 10|6|10,SELL - 2|15|9,STRONG_SELL - 1|17|8,SELL - 3|14|9,Neutral : 52.11,BUY,BUY,Bullish : 39.34,Bullish : 22.43,Weak Trend : 13.07,Neutral : 45.99,Bearish : -12.74,Bullish : 1.55,Bearish : -4.35,Bearish : -4.71,44.4,411.0,38.955,41.42,ICICI SEC. LTD,Watchlist,0,,2,0.0,buy,181.638,0.028,,,0.77126,322.611,
Basic Materials,ASIANPAINT,NEUTRAL,NEUTRAL,2789.0,2773.15,3590.0,2560.0,82.172,98.76063,,21.4079,-0.18,0.16318001,,BUY - 10|6|10,NEUTRAL - 9|7|10,STRONG_SELL - 0|17|9,SELL - 4|12|10,Bullish  : 58.34,BUY,SELL,Bullish : 67.12,Bullish : 60.82,Weak Trend : 15.91,Bullish  : 91.33,Bullish : 49.91,Bearish : -31.75,Bullish : 10.48,Bullish : 1.35,63.1,2807.91,33.941,28.24,ASIAN PAINTS LTD,Portfolio,300,,3.1,836700.0,hold,36.21,-0.18,,,,10.869,
Healthcare,PEL,NEUTRAL,NEUTRAL,1682.6,1672.8,3014.95,1560.1,34.50001,12.320421,1.34,1.1554168,0.097,0.32469,,BUY - 10|6|10,NEUTRAL - 7|9|10,SELL - 1|15|10,SELL - 4|14|8,Neutral : 53.39,BUY,BUY,Overbrought : 80.47,Bullish : 72.02,Weak Trend : 13.66,Bullish  : 116.16,Bullish : 15.24,Bullish : 19.1,Bearish : -1.35,Bearish : -8.35,62.3,1617.39,48.771,136.57,PIRAMAL ENTERPRISE,Watchlist,1,,2,1682.6,buy,534.423,0.097,,,,172.629,
