Sector,Symbol,Rule,Trend,Price,PreviousClose,52WeekHigh,52WeekLow,TrailingPE,ForwardPE,pegRatio,PriceToBook,EarningsQuarterlyGrowth,Institutions_pct,Earning_Date,Reco_4_hrs,Reco_Daily,Reco_Daily_last,Reco_Weekly,RSI,MACD,PAR,Stoch_K,Stoch_D,ADX,CCI20,AO,Mom,MACD_macd,MACD_signal,UO,P_SAR,TrailingEps,ForwardEps,Stock,Category,LotSize,ShortInterest,RecommdationMean,FutureLotValue,RecommadationKey,totalCashPerShare,earningsGrowth,currentRatio,returnOnAssets,returnOnEquity,debtToEquity,quickRatio
Basic Materials,VEDL,NEUTRAL,STRONG_SELL,215.85,213.95,440.75,206.0,4.3337283,4.084974,0.1,1.237523,-0.098,0.15558,2022-01-27 00:00:00,SELL - 4|13|9,SELL - 3|16|7,SELL - 1|15|10,SELL - 6|14|6,Bearish : 31.05,BUY,SELL,Bullish : 27.9,Bullish : 26.97,Strong Trend : 47.32,Bearish : -104.12,Bearish : -31.35,Bearish : -11.95,Bearish : -13.88,Bearish : -15.24,42.21,234.0,49.807,52.84,VEDANTA LIMITED,Watchlist,3100,,2.3,669135.0,buy,88.392,-0.098,1.044,0.11687,0.29615,64.789,0.574
Consumer Cyclical,DELTACORP,NEUTRAL,STRONG_SELL,173.4,172.85,339.7,162.1,619.2857,,,2.41841,-0.167,0.15665,,SELL - 4|13|9,SELL - 3|13|10,SELL - 1|15|10,SELL - 4|14|8,Neutral : 45.87,BUY,SELL,Bullish : 30.89,Bullish : 27.84,Weak Trend : 12.12,Neutral : -28.25,Bearish : -5.22,Bearish : -2.8,Bearish : -3.36,Bearish : -4.28,39.31,188.99,0.28,,DELTA CORP LTD,Watchlist,0,,,0.0,none,26.325,-0.167,4.33,0.03132,0.03421,2.241,3.44
Financial Services,BAJAJFINSV,NEUTRAL,SELL,11399.95,11322.55,19325.0,10727.2,42.954166,230.72151,1.78,4.7892094,0.375,0.10899,,SELL - 4|13|9,SELL - 3|13|10,SELL - 4|14|8,NEUTRAL - 8|12|6,Neutral : 46.31,BUY,BUY,Bullish : 61.46,Bullish : 52.45,Weak Trend : 23.43,Neutral : -8.16,Bearish : -326.39,Bearish : -189.95,Bearish : -165.33,Bearish : -200.35,59.63,10755.83,265.398,49.41,BAJAJ FINSERV LTD,Portfolio,75,,2,854996.25,buy,276.727,0.376,1.73,0.042290002,0.13343,196.592,1.7
Healthcare,THYROCARE,NEUTRAL,STRONG_SELL,619.6,616.75,1374.9,613.2,16.15224,26.592274,1.38,6.791402,-0.433,0.14013,,SELL - 4|13|9,SELL - 2|14|10,SELL - 3|15|8,SELL - 4|14|8,Bearish : 39.93,BUY,SELL,Oversold : 17.19,Oversold : 13.48,Weak Trend : 19.1,Bearish : -117.96,Bearish : -24.28,Bearish : -9.4,Bearish : -8.83,Bearish : -8.93,41.38,636.26,38.36,23.3,THYROCARE TECHNOL,Watchlist,0,,1.8,0.0,buy,26.462,-0.431,4.185,0.24954,0.36932,3.931,3.601
Healthcare,BIOCON,NEUTRAL,NEUTRAL,311.7,311.55,414.4,305.0,57.840046,28.887861,1.97,4.7113776,-0.058,0.1548,2022-04-26 00:00:00,SELL - 4|13|9,BUY - 14|2|10,STRONG_SELL - 0|17|9,SELL - 2|15|9,Bearish : 42.01,SELL,SELL,Oversold : 17.57,Oversold : 15.72,Weak Trend : 17.36,Bearish : -68.78,Bearish : -10.58,Bearish : -8.1,Bearish : -3.65,Bearish : -3.2,46.12,325.41,5.389,10.79,BIOCON LTD,Watchlist,2300,,2.4,716910.0,buy,24.838,-0.064,2.19,0.043959998,0.085839994,54.346,1.312
Energy,COALINDIA,NEUTRAL,SELL,181.95,183.25,209.0,132.75,8.138391,7.154935,-16.54,2.7766755,0.477,0.24006,,SELL - 4|12|10,SELL - 4|13|9,SELL - 6|12|8,BUY - 11|6|9,Neutral : 46.64,BUY,SELL,Bullish : 48.98,Bullish : 47.86,Weak Trend : 18.28,Neutral : -3.57,Bearish : -2.15,Bearish : -0.3,Bearish : -0.9,Bearish : -1.19,47.1,189.45,22.357,25.43,COAL INDIA LTD,Watchlist,4200,,2,764190.0,buy,46,0.477,,,,8.211,
Technology,FSL,NEUTRAL,STRONG_SELL,101.9,103.8,242.85,93.0,16.49401,16.870861,1.16,2.2813263,0.119,0.73446,,SELL - 4|12|10,SELL - 3|14|9,SELL - 2|15|9,SELL - 4|13|9,Neutral : 48.67,BUY,SELL,Bullish : 59.0,Bullish : 66.56,Weak Trend : 14.66,Neutral : 12.91,Bullish : 1.6,Bearish : -2.85,Bullish : 0.1,Bearish : -0.2,46.42,105.85,6.178,6.04,FIRSTSOURCE SOLUTI,Watchlist,0,,1.8,0.0,buy,3.198,0.116,,,,42.359,
Basic Materials,NMDC,NEUTRAL,STRONG_SELL,108.25,109.65,186.5,101.55,3.011629,8.611774,1.31,0.8957904,-0.05,0.23375,,SELL - 4|12|10,SELL - 2|13|11,STRONG_SELL - 0|16|10,SELL - 3|14|9,Bearish : 44.4,BUY,BUY,Bullish : 58.57,Bullish : 64.33,Strong Trend : 29.31,Neutral : 3.92,Bearish : -1.49,Bearish : -2.95,Bearish : -1.36,Bearish : -1.92,51.11,106.42,35.944,12.57,NMDC LTD,Watchlist,6700,,2.7,725275.0,hold,30.1,-0.009,,,,2.75,
Technology,COFORGE,STRONG_SELL,STRONG_SELL,3493.55,3488.05,6135.0,3218.1,41.24714,24.372473,1.1,8.550321,0.506,0.77162004,2022-01-26 00:00:00,SELL - 3|15|8,SELL - 3|14|9,STRONG_SELL - 0|16|10,SELL - 4|14|8,Bearish : 44.97,SELL,SELL,Oversold : 18.08,Oversold : 16.25,Weak Trend : 20.89,Bearish : -85.84,Bearish : -4.47,Bearish : -296.45,Bearish : -4.6,Bullish : 18.38,40.38,3703.03,84.698,143.34,COFORGE LIMITED,Watchlist,1,,2.2,3493.55,buy,45.745,0.496,1.789,0.12968001,0.24861999,20.344,1.57
Technology,TCS,SELL,STRONG_SELL,3240.35,3315.1,4043.0,3023.85,32.89562,27.236698,2.24,12.362416,0.074,0.15621,2022-04-11 00:00:00,SELL - 3|14|9,STRONG_SELL - 1|17|8,STRONG_SELL - 0|16|10,SELL - 4|13|9,Neutral : 45.25,SELL,SELL,Bullish : 30.24,Bullish : 43.37,Weak Trend : 14.35,Bearish : -80.99,Bullish : 28.57,Bearish : -80.95,Bullish : 2.04,Bullish : 4.09,45.06,3343.78,98.504,118.97,TATA CONSULTANCY S,Watchlist,300,,2.6,972105.0,hold,131.147,0.075,2.557,0.22245,0.43456,8.701,2.132
